"Id","School","Abbreviation","AlternateNames","Conference","Division"
"2005","Air Force","AF","AF,Air Force","Mountain West",""
"2006","Akron","AKR","AKR,Akron","Mid-American",""
"333","Alabama","ALA","ALA,Alabama","SEC",""
"2026","App State","APP","Appalachian State,APP,App State","Sun Belt","East"
"12","Arizona","ARIZ","ARIZ,Arizona","Big 12",""
"9","Arizona State","ASU","ASU,Arizona St","Big 12",""
"8","Arkansas","ARK","ARK,Arkansas","SEC",""
"2032","Arkansas State","ARST","ARST,Arkansas St","Sun Belt","West"
"349","Army","ARMY","ARMY,Army","American Athletic",""
"2","Auburn","AUB","AUB,Auburn","SEC",""
"2050","Ball State","BALL","BALL,Ball State","Mid-American",""
"239","Baylor","BAY","BAY,Baylor","Big 12",""
"68","Boise State","BOIS","BOIS,Boise St","Mountain West",""
"103","Boston College","BC","BC,Boston College","ACC",""
"189","Bowling Green","BGSU","Bowling Green State,BGSU,Bowling Green","Mid-American",""
"2084","Buffalo","BUF","BUF,Buffalo","Mid-American",""
"252","BYU","BYU","Brigham Young,BYU,BYU","Big 12",""
"25","California","CAL","CAL,California","ACC",""
"2117","Central Michigan","CMU","CMU,C Michigan","Mid-American",""
"2429","Charlotte","CLT","CLT,Charlotte","American Athletic",""
"2132","Cincinnati","CIN","CIN,Cincinnati","Big 12",""
"228","Clemson","CLEM","CLEM,Clemson","ACC",""
"324","Coastal Carolina","CCU","CCU,Coastal","Sun Belt","East"
"38","Colorado","COLO","COLO,Colorado","Big 12",""
"36","Colorado State","CSU","CSU,Colorado St","Mountain West",""
"48","Delaware","DEL","DEL,Delaware","Conference USA",""
"150","Duke","DUKE","DUKE,Duke","ACC",""
"151","East Carolina","ECU","ECU,East Carolina","American Athletic",""
"2199","Eastern Michigan","EMU","EMU,E Michigan","Mid-American",""
"57","Florida","FLA","FLA,Florida","SEC",""
"2226","Florida Atlantic","FAU","FAU,FAU","American Athletic",""
"2229","Florida International","FIU","Florida Intl,FIU,FIU","Conference USA",""
"52","Florida State","FSU","FSU,Florida St","ACC",""
"278","Fresno State","FRES","FRES,Fresno St","Mountain West",""
"61","Georgia","UGA","UGA,Georgia","SEC",""
"290","Georgia Southern","GASO","GASO,GA Southern","Sun Belt","East"
"2247","Georgia State","GAST","GAST,Georgia St","Sun Belt","East"
"59","Georgia Tech","GT","GT,Georgia Tech","ACC",""
"62","Hawai'i","HAW","HAW,Hawai’i","Mountain West",""
"248","Houston","HOU","HOU,Houston","Big 12",""
"356","Illinois","ILL","ILL,Illinois","Big Ten",""
